semantic_tensor_id	source_name	source_dtype	source_shape	runtime_layout	owning_gpu	layer_id	kernel_family	n	k	experts_packed	experts_total	weight_bytes_per_expert	scale_bytes_per_expert	k_pack	weight_stride	scale_stride	sidecar_file	weight_offset	scale_offset	source_shard_file	source_shard_offset	source_byte_length	source_checksum	tm_abi_version
blk.0.ffn_down_exps.weight	blk.0.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	0	0	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu0.weights	1166874880	2240616704	gpu0.weights	1166874880	1140850688	pending	1
blk.0.ffn_gate_up_exps.weight	blk.0.ffn_gate_exps.weight+blk.0.ffn_up_exps.weight	mxfp4	[4096x4096x256]	turbomind_mxfp4_grouped_gate_up_interleaved	0	0	turbomind_mxfp4_grouped_gated_silu_sm70	4096	4096	256	256	8388608	524288	3412769	131072	4096	gpu0.weights	2307725568	4455209216	gpu0.weights	2307725568	2281701376	pending	1
blk.1.ffn_down_exps.weight	blk.1.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	0	1	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu0.weights	4733062656	5806804480	gpu0.weights	4733062656	1140850688	pending	1
blk.1.ffn_gate_up_exps.weight	blk.1.ffn_gate_exps.weight+blk.1.ffn_up_exps.weight	mxfp4	[4096x4096x256]	turbomind_mxfp4_grouped_gate_up_interleaved	0	1	turbomind_mxfp4_grouped_gated_silu_sm70	4096	4096	256	256	8388608	524288	3412769	131072	4096	gpu0.weights	5873913344	8021396992	gpu0.weights	5873913344	2281701376	pending	1
blk.2.ffn_down_exps.weight	blk.2.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	0	2	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu0.weights	8329223424	9402965248	gpu0.weights	8329223424	1140850688	pending	1
blk.2.ffn_gate_up_exps.weight	blk.2.ffn_gate_exps.weight+blk.2.ffn_up_exps.weight	mxfp4	[4096x4096x256]	turbomind_mxfp4_grouped_gate_up_interleaved	0	2	turbomind_mxfp4_grouped_gated_silu_sm70	4096	4096	256	256	8388608	524288	3412769	131072	4096	gpu0.weights	9470074112	11617557760	gpu0.weights	9470074112	2281701376	pending	1
blk.3.ffn_down_exps.weight	blk.3.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	0	3	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu0.weights	11904064000	12977805824	gpu0.weights	11904064000	1140850688	pending	1
blk.3.ffn_gate_up_exps.weight	blk.3.ffn_gate_exps.weight+blk.3.ffn_up_exps.weight	mxfp4	[4096x4096x256]	turbomind_mxfp4_grouped_gate_up_interleaved	0	3	turbomind_mxfp4_grouped_gated_silu_sm70	4096	4096	256	256	8388608	524288	3412769	131072	4096	gpu0.weights	13044914688	15192398336	gpu0.weights	13044914688	2281701376	pending	1
blk.4.ffn_down_exps.weight	blk.4.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	0	4	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu0.weights	15497123072	16570864896	gpu0.weights	15497123072	1140850688	pending	1
blk.4.ffn_gate_up_exps.weight	blk.4.ffn_gate_exps.weight+blk.4.ffn_up_exps.weight	mxfp4	[4096x4096x256]	turbomind_mxfp4_grouped_gate_up_interleaved	0	4	turbomind_mxfp4_grouped_gated_silu_sm70	4096	4096	256	256	8388608	524288	3412769	131072	4096	gpu0.weights	16637973760	18785457408	gpu0.weights	16637973760	2281701376	pending	1
blk.5.ffn_down_exps.weight	blk.5.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	0	5	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu0.weights	19068861952	20142603776	gpu0.weights	19068861952	1140850688	pending	1
blk.5.ffn_gate_up_exps.weight	blk.5.ffn_gate_exps.weight+blk.5.ffn_up_exps.weight	mxfp4	[4096x4096x256]	turbomind_mxfp4_grouped_gate_up_interleaved	0	5	turbomind_mxfp4_grouped_gated_silu_sm70	4096	4096	256	256	8388608	524288	3412769	131072	4096	gpu0.weights	20209712640	22357196288	gpu0.weights	20209712640	2281701376	pending	1
blk.6.ffn_down_exps.weight	blk.6.ffn_down_exps.weight	mxfp4	[2048x4096x256]	turbomind_mxfp4_grouped	1	6	turbomind_mxfp4_grouped_sm70	4096	2048	256	256	4194304	262144	3412769	65536	4096	gpu1.weights	137786112	1211527936	gpu1.weights	137786112	1140850688	pending	1
